gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
err844030_ms_1_65				unknown	VOG4813	1.3e-08	30.8	HNH endonuclease	hypothetical protein	P-HNH endonuclease
err844030_ms_1_66				unknown						G-unknown
err844030_ms_1_67				unknown						G-unknown
err844030_ms_1_68				unknown	VOG5250	0.0059	12.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_69				unknown						G-unknown
err844030_ms_1_70				unknown	VOG10956	0.0018	14.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_71				unknown						G-unknown
err844030_ms_1_72				unknown	VOG5409	0.00073	15.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_73				unknown						G-unknown
err844030_ms_1_74				unknown						G-unknown
err844030_ms_1_75				unknown						G-unknown
err844030_ms_1_76				unknown						G-unknown
err844030_ms_1_77				unknown	VOG8506	1.7000000000000002e-17	60.2	similar to RNA polymerase ECF-type sigma factor	similar to RNA polymerase ECF-type sigma factor	P-similar to RNA polymerase ECF-type sigma factor
err844030_ms_1_78				unknown						G-unknown
err844030_ms_1_79				unknown						G-unknown
err844030_ms_1_80				unknown	VOG1871	0.0051	12.7	unknown	NudE nudix hydrolase	P-unknown
err844030_ms_1_81				unknown						G-unknown
err844030_ms_1_82				unknown	VOG9199	0.00016999999999999999	17.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_83				unknown	VOG5262	0.0025	14.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_84				unknown						G-unknown
err844030_ms_1_85	PolB	PolB	replication	putative DNA polymerase family B	VOG4577	3.9e-34	114.5	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
err844030_ms_1_86	gene40b	Rep_Org , putative replisome organizer protein 		unknown						Y-Rep_Org , putative replisome organizer protein 
err844030_ms_1_87	gene41b	phage replicative helicase, DnaB family		unknown	VOG0025	5.4000000000000005e-18	62.2	DNA helicase	putative DNA helicase	Y-phage replicative helicase, DnaB family
err844030_ms_1_88				unknown						G-unknown
err844030_ms_1_89	gene43b	AAA domain ATPase		unknown	VOG0322	3.9e-24	82.1	unknown	hypothetical protein	Y-AAA domain ATPase
err844030_ms_1_90				unknown	VOG0525	0.0009400000000000001	15.2	unknown	hypothetical protein	P-unknown
err844030_ms_1_91	primase	DnaG family primase	replication	putative DnaG family primase	VOG4341	6.8e-05	17.1	DNA primase domain-containing	DNA primase domain-containing protein	G-putative DnaG family primase
err844030_ms_1_92				unknown	VOG1573	0.00098	15.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_93				unknown	VOG0157	3.7999999999999996e-44	146.8	phosphoesterase	hypothetical protein	P-phosphoesterase
err844030_ms_1_94				unknown						G-unknown
err844030_ms_1_95	gene48b	Uncharacterized protein 48b		unknown	VOG0536	8.599999999999999e-14	48.0	unknown	hypothetical protein	Y-Uncharacterized protein 48b
err844030_ms_1_96				unknown						G-unknown
err844030_ms_1_97				unknown						G-unknown
err844030_ms_1_98				unknown	VOG3241	6.1e-15	51.6	Ser/Thr  phosphatase family	Ser/Thr protein phosphatase family protein	P-Ser/Thr  phosphatase family
err844030_ms_1_99				unknown						G-unknown
err844030_ms_1_100	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG4708	1.8000000000000002e-16	56.7	exodeoxyribonuclease VIII	RecE	G-putative PD-(D/E)XK superfamily nuclease
err844030_ms_1_101				unknown	VOG1319	0.001	14.3	major head	major head protein	P-major head
err844030_ms_1_102				unknown	VOG8408	0.00044	16.2	unknown	hypothetical protein	P-unknown
