gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
err975045_s_1_63				unknown	VOG10088	0.0036	13.8	DNA primase	DNA primase	P-DNA primase
err975045_s_1_64	dUTP	dUTP diphosphatase		unknown	VOG0085	2.2e-17	59.5	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	Y-dUTP diphosphatase
err975045_s_1_65				unknown	VOG10089	0.0018	14.8	unknown	hypothetical protein	P-unknown
err975045_s_1_66				unknown	VOG4549	0.0026	14.5	glutaredoxin	glutaredoxin	P-glutaredoxin
err975045_s_1_67				unknown	VOG3829	0.0021	14.4	unknown	hypothetical protein	P-unknown
err975045_s_1_68				unknown						G-unknown
err975045_s_1_69				unknown						G-unknown
err975045_s_1_70				unknown						G-unknown
err975045_s_1_71	gene49	Uncharacterized protein		unknown	VOG4565	0.00033	16.7	lysozyme	lysozyme	P-lysozyme
err975045_s_1_72				unknown	VOG5755	0.18	8.3	unknown	hypothetical protein	P-unknown
err975045_s_1_73	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG8945	0.004	13.2	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
err975045_s_1_74	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
err975045_s_1_75	gene53	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein	VOG0316	0.023	11.2	unknown	hypothetical protein	G-putative Integration host factor IHF subunit, histone-like protein
err975045_s_1_76	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
err975045_s_1_77				unknown						G-unknown
err975045_s_1_78				unknown	VOG1863	0.00021	17.8	unknown	hypothetical protein	P-unknown
err975045_s_1_79				unknown						G-unknown
err975045_s_1_80				unknown						G-unknown
err975045_s_1_81				unknown	VOG2401	0.011000000000000001	12.0	unknown	hypothetical protein	P-unknown
err975045_s_1_82				unknown	VOG6644	0.0019	15.0	unknown	hypothetical protein	P-unknown
err975045_s_1_83				unknown						G-unknown
err975045_s_1_84				unknown						G-unknown
err975045_s_1_85				unknown						G-unknown
err975045_s_1_86				unknown	VOG8774	0.0007700000000000001	15.4	unknown	hypothetical protein	P-unknown
err975045_s_1_87				unknown						G-unknown
err975045_s_1_88				unknown	VOG6373	0.013999999999999999	9.8	minor tail	minor tail protein	P-minor tail
err975045_s_1_89				unknown						G-unknown
err975045_s_1_90				unknown	VOG7999	0.0012	14.9	unknown	hypothetical protein	P-unknown
err975045_s_1_91				unknown	VOG1485	0.0019	13.9	unknown	hypothetical protein	P-unknown
err975045_s_1_92				unknown						G-unknown
err975045_s_1_93				unknown						G-unknown
err975045_s_1_94				unknown						G-unknown
err975045_s_1_95	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err975045_s_1_96	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
err975045_s_1_97	MCP	Major Capsid Protein	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
err975045_s_1_98	gene77	putative structural protein	assembly.capsid	unknown	VOG6061	0.00018	18.1	unknown	hypothetical protein	Y-putative structural protein
err975045_s_1_99	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
err975045_s_1_100	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
err975045_s_1_101				unknown						G-unknown
err975045_s_1_102				unknown	VOG4145	0.0049	12.8	unknown	hypothetical protein	P-unknown
