gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
sib1_ms_5_65	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	1.9999999999999997e-72	240.9	DNA helicase	DNA helicase	G-putative SF1 helicase
sib1_ms_5_66				unknown						G-unknown
sib1_ms_5_67				unknown						G-unknown
sib1_ms_5_68				unknown						G-unknown
sib1_ms_5_69				unknown						G-unknown
sib1_ms_5_70				unknown						G-unknown
sib1_ms_5_71				unknown						G-unknown
sib1_ms_5_72				unknown	VOG8117	0.0084	11.7	unknown	hypothetical protein	P-unknown
sib1_ms_5_73				unknown						G-unknown
sib1_ms_5_74				unknown	VOG10144	0.0076	12.6	unknown	hypothetical protein	P-unknown
sib1_ms_5_75				unknown	VOG9968	0.024	11.0	unknown	hypothetical protein	P-unknown
sib1_ms_5_76				unknown						G-unknown
sib1_ms_5_77				unknown						G-unknown
sib1_ms_5_78				unknown						G-unknown
sib1_ms_5_79				unknown	VOG0285	0.0019	14.4	Kil	Kil	P-Kil
sib1_ms_5_80				unknown						G-unknown
sib1_ms_5_81				unknown	VOG9239	0.018000000000000002	10.8	unknown	hypothetical protein	P-unknown
sib1_ms_5_82				unknown	VOG7714	0.00036	17.2	unknown	hypothetical protein	P-unknown
sib1_ms_5_83				unknown						G-unknown
sib1_ms_5_84				unknown	VOG6291	5e-05	18.9	unknown	hypothetical protein	P-unknown
