gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
cs_ms_21_49				unknown	VOG5047	3.1e-08	29.5	unknown	hypothetical protein	P-unknown
cs_ms_21_50	PolB	Polymerase B	replication	putative DNA polymerase family B	VOG4577	2.3999999999999998e-28	95.4	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
cs_ms_21_51				unknown						G-unknown
cs_ms_21_52	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif						G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
cs_ms_21_53	gene19	phage RecT recombinase	replication	putative RecT, phage RecT recombinase	VOG4360	0.002	13.9	unknown	hypothetical protein	G-putative RecT, phage RecT recombinase
cs_ms_21_54	gene20	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
cs_ms_21_55	gene21	single stranded DNA-binding pr.	replication	putative ssb single stranded DNA-binding protein						G-putative ssb single stranded DNA-binding protein
cs_ms_21_56	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
cs_ms_21_57	gene23	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
cs_ms_21_58	ligase25	Ligase		unknown	VOG0018	5.6e-30	100.9	DNA ligase	DNA ligase	Y-Ligase
cs_ms_21_59				unknown						G-unknown
cs_ms_21_60				unknown	VOG2731	0.0007	15.5	unknown	hypothetical protein	P-unknown
cs_ms_21_61				unknown	VOG5445	0.0027	12.8	unknown	hypothetical protein	P-unknown
cs_ms_21_62				unknown	VOG0045	2.7e-07	27.1	unknown	hypothetical protein	P-unknown
cs_ms_21_63				unknown	VOG5986	5.099999999999999e-20	68.2	MazG	MazG	P-MazG
cs_ms_21_64				unknown	VOG9112	1.9e-23	79.7	unknown	hypothetical protein	P-unknown
cs_ms_21_65	ThyX	Thymidylate synthase		unknown	VOG4561	6.999999999999999e-13	45.0	thymidylate synthase	thymidylate synthase	Y-Thymidylate synthase
cs_ms_21_66				unknown						G-unknown
cs_ms_21_67	gene32	Siphovirus Gp157 homolog	replication	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor	VOG0321	1.9e-13	46.7	unknown	hypothetical protein	G-putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor
cs_ms_21_68	gene34	Uncharacterized protein	replication	putative Protein of unknown function (DUF932)	VOG2486	8e-44	146.3	unknown	hypothetical protein	G-putative Protein of unknown function (DUF932)
cs_ms_21_69				unknown						G-unknown
cs_ms_21_70				unknown	VOG8527	0.0027	14.5	unknown	hypothetical protein	P-unknown
cs_ms_21_71				unknown						G-unknown
cs_ms_21_72				unknown	VOG4611	0.06	8.9	unknown	hypothetical protein	P-unknown
cs_ms_21_73	gene49	Uncharacterized protein		unknown	VOG1691	0.015	11.3	unknown	hypothetical protein	P-unknown
cs_ms_21_74	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG9355	0.0068	13.0	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
cs_ms_21_75	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4	VOG4013	0.011000000000000001	11.7	unknown	hypothetical protein	G-putative Tail tubular protein, P22_gp4
cs_ms_21_76	gene53	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
cs_ms_21_77				unknown						G-unknown
cs_ms_21_78				unknown						G-unknown
cs_ms_21_79	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
cs_ms_21_80				unknown						G-unknown
cs_ms_21_81				unknown						G-unknown
cs_ms_21_82				unknown	VOG0567	0.0046	12.4	terminase endonuclease subunit	terminase endonuclease subunit	P-terminase endonuclease subunit
cs_ms_21_83				unknown						G-unknown
cs_ms_21_84				unknown	VOG8680	0.0067	12.2	unknown	hypothetical protein	P-unknown
cs_ms_21_85				unknown						G-unknown
cs_ms_21_86				unknown	VOG0602	0.0034	13.3	holin	holin	P-holin
cs_ms_21_87				unknown						G-unknown
cs_ms_21_88				unknown						G-unknown
cs_ms_21_89				unknown						G-unknown
cs_ms_21_90				unknown						G-unknown
