gene	gene_annot
inf125_s_2_97	unknown function
inf125_s_2_98	AAA domain ATPase
inf125_s_2_99	unknown function
inf125_s_2_100	unknown function
inf125_s_2_101	unknown function
inf125_s_2_102	DnaG family primase
inf125_s_2_103	unknown function
inf125_s_2_104	unknown function
inf125_s_2_105	unknown function
inf125_s_2_106	PD-(D E)XK family nuclease
inf125_s_2_107	unknown function
inf125_s_2_108	unknown function
inf125_s_2_109	unknown function
inf125_s_2_110	unknown function
inf125_s_2_111	unknown function
inf125_s_2_112	unknown function
inf125_s_2_113	unknown function
inf125_s_2_114	unknown function
inf125_s_2_115	unknown function
inf125_s_2_116	unknown function
inf125_s_2_117	unknown function
inf125_s_2_118	unknown function
inf125_s_2_119	unknown function
inf125_s_2_120	unknown function
inf125_s_2_121	unknown function
inf125_s_2_122	unknown function
inf125_s_2_123	unknown function
inf125_s_2_124	unknown function
inf125_s_2_125	unknown function
inf125_s_2_126	unknown function
inf125_s_2_127	unknown function
inf125_s_2_128	unknown function
inf125_s_2_129	unknown function
inf125_s_2_130	unknown function
inf125_s_2_131	unknown function
inf125_s_2_132	unknown function
inf125_s_2_133	unknown function
inf125_s_2_134	unknown function
inf125_s_2_135	unknown function
inf125_s_2_136	unknown function
inf125_s_2_137	unknown function
inf125_s_2_138	unknown function
inf125_s_2_139	unknown function
inf125_s_2_140	unknown function
inf125_s_2_141	unknown function
inf125_s_2_142	unknown function
inf125_s_2_143	unknown function
inf125_s_2_144	unknown function
inf125_s_2_145	unknown function
inf125_s_2_146	unknown function
inf125_s_2_147	unknown function
inf125_s_2_148	unknown function
inf125_s_2_149	unknown function
inf125_s_2_150	unknown function
inf125_s_2_151	unknown function
inf125_s_2_152	unknown function
inf125_s_2_153	unknown function
inf125_s_2_154	unknown function
inf125_s_2_155	unknown function
inf125_s_2_156	unknown function
inf125_s_2_157	unknown function
inf125_s_2_158	unknown function
inf125_s_2_159	unknown function
inf125_s_2_160	unknown function
inf125_s_2_161	unknown function
inf125_s_2_162	unknown function
inf125_s_2_163	unknown function
inf125_s_2_164	unknown function
inf125_s_2_165	unknown function
inf125_s_2_166	unknown function
inf125_s_2_167	unknown function
inf125_s_2_168	unknown function
inf125_s_2_169	unknown function
inf125_s_2_170	unknown function
inf125_s_2_171	unknown function
inf125_s_2_172	unknown function
inf125_s_2_173	unknown function
inf125_s_2_174	unknown function
inf125_s_2_175	unknown function
inf125_s_2_176	unknown function
inf125_s_2_1	unknown function
inf125_s_2_2	unknown function
inf125_s_2_3	unknown function
inf125_s_2_4	unknown function
inf125_s_2_5	unknown function
inf125_s_2_6	unknown function
inf125_s_2_7	unknown function
inf125_s_2_8	unknown function
inf125_s_2_9	unknown function
inf125_s_2_10	unknown function
inf125_s_2_11	unknown function
inf125_s_2_12	unknown function
inf125_s_2_13	unknown function
inf125_s_2_14	unknown function
inf125_s_2_15	unknown function
inf125_s_2_16	unknown function
inf125_s_2_17	unknown function
inf125_s_2_18	unknown function
inf125_s_2_19	unknown function
inf125_s_2_20	unknown function
inf125_s_2_21	unknown function
inf125_s_2_22	unknown function
inf125_s_2_23	unknown function
inf125_s_2_24	unknown function
inf125_s_2_25	unknown function
inf125_s_2_26	unknown function
inf125_s_2_27	unknown function
inf125_s_2_28	unknown function
inf125_s_2_29	unknown function
inf125_s_2_30	unknown function
inf125_s_2_31	unknown function
inf125_s_2_32	unknown function
inf125_s_2_33	unknown function
inf125_s_2_34	putative structural protein
inf125_s_2_35	unknown function
inf125_s_2_36	MCP
inf125_s_2_37	unknown function
inf125_s_2_38	putative structural protein
inf125_s_2_39	unknown function
inf125_s_2_40	unknown function
inf125_s_2_41	unknown function
inf125_s_2_42	unknown function
inf125_s_2_43	unknown function
inf125_s_2_44	Portal
inf125_s_2_45	Portal
inf125_s_2_46	Portal
inf125_s_2_47	unknown function
inf125_s_2_48	unknown function
inf125_s_2_49	Terminase
inf125_s_2_50	unknown function
inf125_s_2_51	unknown function
inf125_s_2_52	unknown function
inf125_s_2_53	unknown function
inf125_s_2_54	unknown function
inf125_s_2_55	unknown function
inf125_s_2_56	unknown function
inf125_s_2_57	unknown function
inf125_s_2_58	unknown function
inf125_s_2_59	unknown function
inf125_s_2_60	unknown function
inf125_s_2_61	unknown function
inf125_s_2_62	unknown function
inf125_s_2_63	unknown function
inf125_s_2_64	unknown function
inf125_s_2_65	unknown function
inf125_s_2_66	unknown function
inf125_s_2_67	unknown function
inf125_s_2_68	unknown function
inf125_s_2_69	unknown function
inf125_s_2_70	unknown function
inf125_s_2_71	unknown function
inf125_s_2_72	unknown function
inf125_s_2_73	unknown function
inf125_s_2_74	unknown function
inf125_s_2_75	unknown function
inf125_s_2_76	unknown function
inf125_s_2_77	unknown function
inf125_s_2_78	unknown function
inf125_s_2_79	unknown function
inf125_s_2_80	unknown function
inf125_s_2_81	unknown function
inf125_s_2_82	unknown function
inf125_s_2_83	unknown function
inf125_s_2_84	unknown function
inf125_s_2_85	unknown function
inf125_s_2_86	unknown function
inf125_s_2_87	unknown function
inf125_s_2_88	unknown function
inf125_s_2_89	unknown function
inf125_s_2_90	unknown function
inf125_s_2_91	unknown function
inf125_s_2_92	unknown function
inf125_s_2_93	unknown function
inf125_s_2_94	PolB
inf125_s_2_95	Rep_Org , putative replisome organizer protein 
inf125_s_2_96	phage replicative helicase, DnaB family
inf125_s_2_97	unknown function
inf125_s_2_98	AAA domain ATPase
inf125_s_2_99	unknown function
inf125_s_2_100	unknown function
inf125_s_2_101	unknown function
inf125_s_2_102	DnaG family primase
inf125_s_2_103	unknown function
inf125_s_2_104	unknown function
inf125_s_2_105	unknown function
inf125_s_2_106	PD-(D E)XK family nuclease
inf125_s_2_107	unknown function
inf125_s_2_108	unknown function
inf125_s_2_109	unknown function
inf125_s_2_110	unknown function
inf125_s_2_111	unknown function
inf125_s_2_112	unknown function
inf125_s_2_113	unknown function
inf125_s_2_114	unknown function
inf125_s_2_115	unknown function
inf125_s_2_116	unknown function
inf125_s_2_117	unknown function
inf125_s_2_118	unknown function
inf125_s_2_119	unknown function
inf125_s_2_120	unknown function
inf125_s_2_121	unknown function
inf125_s_2_122	unknown function
inf125_s_2_123	unknown function
inf125_s_2_124	unknown function
inf125_s_2_125	unknown function
inf125_s_2_126	unknown function
inf125_s_2_127	unknown function
inf125_s_2_128	unknown function
inf125_s_2_129	unknown function
inf125_s_2_130	unknown function
inf125_s_2_131	unknown function
inf125_s_2_132	unknown function
inf125_s_2_133	unknown function
inf125_s_2_134	unknown function
inf125_s_2_135	unknown function
inf125_s_2_136	unknown function
inf125_s_2_137	unknown function
inf125_s_2_138	unknown function
inf125_s_2_139	unknown function
inf125_s_2_140	unknown function
inf125_s_2_141	unknown function
inf125_s_2_142	unknown function
inf125_s_2_143	unknown function
inf125_s_2_144	unknown function
inf125_s_2_145	unknown function
inf125_s_2_146	unknown function
inf125_s_2_147	unknown function
inf125_s_2_148	unknown function
inf125_s_2_149	unknown function
inf125_s_2_150	unknown function
inf125_s_2_151	unknown function
inf125_s_2_152	unknown function
inf125_s_2_153	unknown function
inf125_s_2_154	unknown function
inf125_s_2_155	unknown function
inf125_s_2_156	unknown function
inf125_s_2_157	unknown function
inf125_s_2_158	unknown function
inf125_s_2_159	unknown function
inf125_s_2_160	unknown function
inf125_s_2_161	unknown function
inf125_s_2_162	unknown function
inf125_s_2_163	unknown function
inf125_s_2_164	unknown function
inf125_s_2_165	unknown function
inf125_s_2_166	unknown function
inf125_s_2_167	unknown function
inf125_s_2_168	unknown function
inf125_s_2_169	unknown function
inf125_s_2_170	unknown function
inf125_s_2_171	unknown function
inf125_s_2_172	unknown function
inf125_s_2_173	unknown function
inf125_s_2_174	unknown function
inf125_s_2_175	unknown function
inf125_s_2_176	unknown function
