gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
srr4295175_ms_5_54	gene23	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
srr4295175_ms_5_55	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
srr4295175_ms_5_56	gene21	single stranded DNA-binding pr.	replication	putative ssb single stranded DNA-binding protein						G-putative ssb single stranded DNA-binding protein
srr4295175_ms_5_57	gene20	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
srr4295175_ms_5_58	gene19	phage RecT recombinase	replication	putative RecT, phage RecT recombinase	VOG4360	0.0011	14.6	unknown	hypothetical protein	G-putative RecT, phage RecT recombinase
srr4295175_ms_5_59	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif						G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
srr4295175_ms_5_60				unknown						G-unknown
srr4295175_ms_5_61				unknown						G-unknown
srr4295175_ms_5_62	PolB	Polymerase B	replication	putative DNA polymerase family B	VOG4577	7.099999999999999e-41	136.8	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
srr4295175_ms_5_63	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	4.8e-62	206.7	DNA helicase	DNA helicase	G-putative SF1 helicase
srr4295175_ms_5_64				unknown						G-unknown
srr4295175_ms_5_65				unknown						G-unknown
srr4295175_ms_5_66				unknown						G-unknown
srr4295175_ms_5_67				unknown	VOG8422	0.00074	15.6	unknown	unknown	P-unknown
srr4295175_ms_5_68				unknown	VOG1803	2.1e-05	19.7	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_69				unknown						G-unknown
srr4295175_ms_5_70				unknown	VOG6270	0.00022	17.3	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_71				unknown	VOG8356	0.0038	13.1	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_72				unknown	VOG0083	1.1e-06	24.0	recombination endonuclease subunit	recombination endonuclease subunit	P-recombination endonuclease subunit
srr4295175_ms_5_73				unknown						G-unknown
srr4295175_ms_5_74				unknown	VOG8440	0.01	12.3	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_75				unknown						G-unknown
srr4295175_ms_5_76				unknown						G-unknown
srr4295175_ms_5_77				unknown	VOG9935	0.035	9.6	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_78				unknown						G-unknown
srr4295175_ms_5_79				unknown						G-unknown
srr4295175_ms_5_80				unknown						G-unknown
srr4295175_ms_5_81	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
srr4295175_ms_5_82	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG2848	5.4e-53	176.2	AddA-like	AddA-like protein	G-putative PD-(D/E)XK superfamily nuclease
srr4295175_ms_5_83				unknown	VOG10334	1.6000000000000002e-19	66.6	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_84				unknown						G-unknown
srr4295175_ms_5_85				unknown	VOG0910	0.013999999999999999	11.7	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_86	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
srr4295175_ms_5_87				unknown	VOG0765	0.14	8.3	holin	holin	P-holin
srr4295175_ms_5_88	portal	Portal	assembly.capsid	putative Portal protein	VOG6946	0.0082	12.0	unknown	hypothetical protein	G-putative Portal protein
