gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
cs_ms_21_31				unknown						G-unknown
cs_ms_21_32				unknown						G-unknown
cs_ms_21_33				unknown						G-unknown
cs_ms_21_34				unknown						G-unknown
cs_ms_21_35				unknown						G-unknown
cs_ms_21_36				unknown	VOG4884	0.0036	12.3	distal tail	distal tail protein	P-distal tail
cs_ms_21_37				unknown						G-unknown
cs_ms_21_38				unknown						G-unknown
cs_ms_21_39				unknown	VOG5284	5.5e-15	51.6	unknown	hypothetical protein	P-unknown
cs_ms_21_40				unknown	VOG5697	0.00042	16.3	unknown	hypothetical protein	P-unknown
cs_ms_21_41				unknown						G-unknown
cs_ms_21_42	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG5203	3.8999999999999993e-66	219.7	HNH endonuclease domain	HNH endonuclease domain protein	G-putative SF1 helicase
cs_ms_21_43				unknown						G-unknown
cs_ms_21_44				unknown						G-unknown
cs_ms_21_45				unknown						G-unknown
cs_ms_21_46				unknown						G-unknown
cs_ms_21_47	UDG	UDG	replication	putative Uracyl-DNA glycosylase	VOG1742	0.00095	14.9	unknown	hypothetical protein	G-putative Uracyl-DNA glycosylase
cs_ms_21_48	PolB	PolB	replication	putative DNA polymerase family B	VOG4670	7.8e-07	23.4	DNA polymerase/primase	DNA polymerase/primase	G-putative DNA polymerase family B
cs_ms_21_49				unknown	VOG5047	3.1e-08	29.5	unknown	hypothetical protein	P-unknown
cs_ms_21_50	PolB	PolB	replication	putative DNA polymerase family B	VOG4577	2.3999999999999998e-28	95.4	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
cs_ms_21_51				unknown						G-unknown
cs_ms_21_52	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif						G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
cs_ms_21_53	gene19	RecT	replication	putative RecT, phage RecT recombinase	VOG4360	0.002	13.9	unknown	hypothetical protein	G-putative RecT, phage RecT recombinase
cs_ms_21_54	gene20	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
cs_ms_21_55	gene21	ssb 	replication	putative ssb single stranded DNA-binding protein						G-putative ssb single stranded DNA-binding protein
cs_ms_21_56	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
cs_ms_21_57	gene23	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
cs_ms_21_58	ligase25			unknown	VOG0018	5.6e-30	100.9	DNA ligase	DNA ligase	P-DNA ligase
cs_ms_21_59				unknown						G-unknown
cs_ms_21_60				unknown	VOG2731	0.0007	15.5	unknown	hypothetical protein	P-unknown
cs_ms_21_61				unknown	VOG5445	0.0027	12.8	unknown	hypothetical protein	P-unknown
cs_ms_21_62				unknown	VOG0045	2.7e-07	27.1	unknown	hypothetical protein	P-unknown
cs_ms_21_63				unknown	VOG5986	5.099999999999999e-20	68.2	MazG	MazG	P-MazG
cs_ms_21_64				unknown	VOG9112	1.9e-23	79.7	unknown	hypothetical protein	P-unknown
cs_ms_21_65	ThyX			unknown	VOG4561	6.999999999999999e-13	45.0	thymidylate synthase	thymidylate synthase	P-thymidylate synthase
cs_ms_21_66				unknown						G-unknown
cs_ms_21_67	gene32	Siphovirus Gp157 homolog	replication	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor	VOG0321	1.9e-13	46.7	unknown	hypothetical protein	G-putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor
cs_ms_21_68	gene34	Uncharacterized protein	replication	putative Protein of unknown function (DUF932)	VOG2486	8e-44	146.3	unknown	hypothetical protein	G-putative Protein of unknown function (DUF932)
cs_ms_21_69				unknown						G-unknown
cs_ms_21_70				unknown	VOG8527	0.0027	14.5	unknown	hypothetical protein	P-unknown
cs_ms_21_71				unknown						G-unknown
cs_ms_21_72				unknown	VOG4611	0.06	8.9	unknown	hypothetical protein	P-unknown
cs_ms_21_73	gene49	Uncharacterized protein		unknown	VOG1691	0.015	11.3	unknown	hypothetical protein	P-unknown
cs_ms_21_74	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG9355	0.0068	13.0	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
cs_ms_21_75	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4	VOG4013	0.011000000000000001	11.7	unknown	hypothetical protein	G-putative Tail tubular protein, P22_gp4
cs_ms_21_76	gene53	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
cs_ms_21_77				unknown						G-unknown
cs_ms_21_78				unknown						G-unknown
cs_ms_21_79	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
cs_ms_21_80				unknown						G-unknown
cs_ms_21_81				unknown						G-unknown
cs_ms_21_82				unknown	VOG0567	0.0046	12.4	terminase endonuclease subunit	terminase endonuclease subunit	P-terminase endonuclease subunit
cs_ms_21_83				unknown						G-unknown
cs_ms_21_84				unknown	VOG8680	0.0067	12.2	unknown	hypothetical protein	P-unknown
cs_ms_21_85				unknown						G-unknown
cs_ms_21_86				unknown	VOG0602	0.0034	13.3	holin	holin	P-holin
cs_ms_21_87				unknown						G-unknown
cs_ms_21_88				unknown						G-unknown
cs_ms_21_89				unknown						G-unknown
cs_ms_21_90				unknown						G-unknown
eld241-t0_s_1_1				unknown	VOG0154	0.00037999999999999997	16.7	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_2	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG9316	0.0065	12.2	unknown	hypothetical protein	G-putative SF1 helicase
eld241-t0_s_1_3				unknown						G-unknown
eld241-t0_s_1_4				unknown	VOG5879	0.0009	15.4	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_5				unknown	VOG0377	0.00062	15.3	DNA helicase	DNA helicase	P-DNA helicase
eld241-t0_s_1_6	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog	VOG8094	0.0041	13.5	unknown	hypothetical protein	G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
eld241-t0_s_1_7	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
eld241-t0_s_1_8				unknown						G-unknown
eld241-t0_s_1_9				unknown						G-unknown
eld241-t0_s_1_10				unknown						G-unknown
eld241-t0_s_1_11				unknown	VOG5247	8.400000000000001e-06	22.3	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_12				unknown						G-unknown
eld241-t0_s_1_13				unknown						G-unknown
eld241-t0_s_1_14				unknown						G-unknown
eld241-t0_s_1_15				unknown						G-unknown
eld241-t0_s_1_16	gene73	putative structural protein	assembly	putative Tail sheath protein						G-putative Tail sheath protein
eld241-t0_s_1_17	gene74	putative structural protein	assembly	unknown	VOG6092	0.00031	17.3	unknown	hypothetical protein	Y-putative structural protein
eld241-t0_s_1_18				unknown						G-unknown
eld241-t0_s_1_19				unknown						G-unknown
eld241-t0_s_1_20	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
eld241-t0_s_1_21	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
eld241-t0_s_1_22	gene77	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
eld241-t0_s_1_23				unknown						G-unknown
eld241-t0_s_1_24				unknown						G-unknown
eld241-t0_s_1_25	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
eld241-t0_s_1_26	terminase	Terminase	assembly.capsid	putative Terminase large subunit						G-putative Terminase large subunit
eld241-t0_s_1_27	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
eld241-t0_s_1_28				unknown						G-unknown
eld241-t0_s_1_29				unknown						G-unknown
eld241-t0_s_1_30				unknown						G-unknown
eld241-t0_s_1_31	dUTP			unknown						G-unknown
eld241-t0_s_1_32				unknown						G-unknown
eld241-t0_s_1_33				unknown						G-unknown
eld241-t0_s_1_34				unknown	VOG5049	0.0096	12.3	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_35				unknown						G-unknown
eld241-t0_s_1_36				unknown	VOG2115	0.0053	13.1	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_37				unknown						G-unknown
eld241-t0_s_1_38				unknown						G-unknown
eld241-t0_s_1_39				unknown						G-unknown
eld241-t0_s_1_40				unknown						G-unknown
eld241-t0_s_1_41				unknown						G-unknown
eld241-t0_s_1_42				unknown						G-unknown
eld241-t0_s_1_43				unknown						G-unknown
eld241-t0_s_1_44				unknown						G-unknown
eld241-t0_s_1_45				unknown						G-unknown
eld241-t0_s_1_46				unknown						G-unknown
eld241-t0_s_1_47				unknown						G-unknown
eld241-t0_s_1_48				unknown						G-unknown
eld241-t0_s_1_49				unknown	VOG1006	0.0018	14.4	sigma factor for late transcription	sigma factor for late transcription	P-sigma factor for late transcription
eld241-t0_s_1_50				unknown	VOG5787	1.1000000000000001e-16	56.7	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_51				unknown						G-unknown
eld241-t0_s_1_52				unknown						G-unknown
eld241-t0_s_1_53				unknown						G-unknown
eld241-t0_s_1_54				unknown						G-unknown
eld241-t0_s_1_55				unknown						G-unknown
eld241-t0_s_1_56				unknown						G-unknown
eld241-t0_s_1_57				unknown						G-unknown
eld241-t0_s_1_58				unknown						G-unknown
eld241-t0_s_1_59				unknown	VOG7061	0.011000000000000001	10.6	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_60				unknown						G-unknown
eld241-t0_s_1_61				unknown	VOG0753	0.0027	14.1	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_62				unknown						G-unknown
eld241-t0_s_1_63				unknown	VOG7839	0.0037	13.7	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_64				unknown						G-unknown
eld241-t0_s_1_65				unknown						G-unknown
eld241-t0_s_1_66				unknown						G-unknown
eld241-t0_s_1_67				unknown						G-unknown
eld241-t0_s_1_68				unknown						G-unknown
eld241-t0_s_1_69				unknown						G-unknown
eld241-t0_s_1_70				unknown						G-unknown
eld241-t0_s_1_71				unknown						G-unknown
eld241-t0_s_1_72				unknown						G-unknown
eld241-t0_s_1_73				unknown						G-unknown
eld241-t0_s_1_74				unknown						G-unknown
eld241-t0_s_1_75				unknown	VOG5824	0.00055	16.5	unknown	hypothetical protein	P-unknown
eld241-t0_s_1_76				unknown						G-unknown
eld241-t0_s_1_77				unknown						G-unknown
eld241-t0_s_1_78				unknown						G-unknown
eld241-t0_s_1_79	PolB	PolB	replication	putative DNA polymerase family B						G-putative DNA polymerase family B
eld241-t0_s_1_80	gene40b	Rep_Org , putative replisome organizer protein 		unknown	VOG8372	0.0081	12.6	unknown	hypothetical protein	Y-Rep_Org , putative replisome organizer protein 
eld241-t0_s_1_81	gene41b	phage replicative helicase, DnaB family		unknown	VOG4792	0.0035	13.6	unknown	hypothetical protein	Y-phage replicative helicase, DnaB family
eld241-t0_s_1_82				unknown	VOG10286	0.0059	11.6	N-acetylneuraminate pyruvate lyase	putative N-acetylneuraminate pyruvate lyase	P-N-acetylneuraminate pyruvate lyase
eld241-t0_s_1_83	gene43b	AAA domain ATPase		unknown						Y-AAA domain ATPase
eld241-t0_s_1_84				unknown						G-unknown
eld241-t0_s_1_85	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
eld241-t0_s_1_86				unknown						G-unknown
eld241-t0_s_1_87	gene48b	Uncharacterized protein 48b		unknown						Y-Uncharacterized protein 48b
eld241-t0_s_1_88				unknown						G-unknown
eld241-t0_s_1_89	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease						G-putative PD-(D/E)XK superfamily nuclease
eld241-t0_s_1_90				unknown						G-unknown
eld241-t0_s_1_91				unknown	VOG7068	0.0012	13.1	unknown	hypothetical protein	P-unknown
err844030_ms_1_1				unknown	VOG3129	0.00039	16.4	unknown	hypothetical protein	P-unknown
err844030_ms_1_2	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	2.8999999999999994e-65	217.3	DNA helicase	DNA helicase	G-putative SF1 helicase
err844030_ms_1_3				unknown						G-unknown
err844030_ms_1_4				unknown	VOG9060	0.00023999999999999998	17.1	unknown	hypothetical protein	P-unknown
err844030_ms_1_5	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog						G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
err844030_ms_1_6	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
err844030_ms_1_7				unknown	VOG5550	0.006	12.7	unknown	hypothetical protein	P-unknown
err844030_ms_1_8	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
err844030_ms_1_9				unknown	VOG5787	1.9999999999999999e-22	75.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_10				unknown	VOG5763	0.03	10.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_11				unknown						G-unknown
err844030_ms_1_12				unknown						G-unknown
err844030_ms_1_13				unknown	VOG6476	0.00011	17.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_14				unknown	VOG11045	0.0037	13.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_15				unknown						G-unknown
err844030_ms_1_16				unknown	VOG0641	2.6e-08	29.9	holin	holin	P-holin
err844030_ms_1_17				unknown						G-unknown
err844030_ms_1_18				unknown	VOG6540	1.6e-07	28.0	adsorption	putative adsorption protein	P-adsorption
err844030_ms_1_19				unknown						G-unknown
err844030_ms_1_20				unknown	VOG0979	4.499999999999999e-88	291.8	retron-type RNA-directed DNA polymerase	retron-type RNA-directed DNA polymerase	P-retron-type RNA-directed DNA polymerase
err844030_ms_1_21				unknown	VOG9955	1.4e-22	76.4	unknown	hypothetical protein	P-unknown
err844030_ms_1_22				unknown	VOG0980	3.6000000000000003e-06	23.7	unknown	hypothetical protein	P-unknown
err844030_ms_1_23				unknown						G-unknown
err844030_ms_1_24				unknown	VOG9875	0.002	14.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_25				unknown	VOG5483	0.0088	11.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_26				unknown	VOG2791	2.7000000000000002e-05	18.8	tail sheath	tail sheath protein	P-tail sheath
err844030_ms_1_27	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err844030_ms_1_28				unknown						G-unknown
err844030_ms_1_29	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err844030_ms_1_30	gene75	putative structural protein	assembly.capsid	unknown	VOG1080	0.0038	12.9	internal virion  B	hypothetical protein	Y-putative structural protein
err844030_ms_1_31	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
err844030_ms_1_32	gene77	putative structural protein	assembly.capsid	unknown	VOG2379	0.17	4.5	virion RNA polymerase	virion RNA polymerase	Y-putative structural protein
err844030_ms_1_33				unknown						G-unknown
err844030_ms_1_34				unknown						G-unknown
err844030_ms_1_35	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
