#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
err844030_ms_1_87    -          VOG0025              -            5.4e-18   62.2   0.0   6.5e-18   61.9   0.0   1.0   1   0   0   1   1   1   1 -
fferm_ms_11_67       -          VOG0025              -            1.1e-09   34.9   0.2   1.5e-09   34.4   0.2   1.1   1   0   0   1   1   1   1 -
inf125_s_2_100       -          VOG0025              -            0.00022   17.4   4.8    0.0011   15.0   4.6   2.1   1   1   0   1   1   1   1 -
fferm_ms_11_90       -          VOG0026              -            1.2e-74  248.5   0.0   2.9e-74  247.2   0.0   1.6   1   1   0   1   1   1   1 -
cs_ms_21_62          -          VOG0045              -            2.7e-07   27.1   0.0   3.5e-07   26.7   0.0   1.1   1   0   0   1   1   1   1 -
err844030_ms_1_77    -          VOG0052              -            1.4e-13   46.7   3.4     6e-09   31.4   0.2   2.0   1   1   0   2   2   2   2 -
inf125_s_2_85        -          VOG0052              -            2.9e-12   42.3   2.7     4e-08   28.7   0.7   2.0   2   0   0   2   2   2   2 -
eld241-t0_s_1_134    -          VOG0052              -              1e-10   37.3   4.4   1.1e-06   24.0   0.6   2.1   2   0   0   2   2   2   2 -
fferm_ms_11_37       -          VOG0052              -            0.00084   14.5   0.0     0.001   14.2   0.0   1.2   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_57         -          VOG0058              -            2.6e-07   26.5   0.5    0.0012   14.4   0.0   2.3   2   0   0   2   2   2   2 -
sib1_ms_5_65            -          VOG0058              -            2.6e-07   26.4   0.2   9.5e-05   18.1   0.0   2.4   2   0   0   2   2   2   2 -
srr4295175_ms_5_63      -          VOG0058              -            2.5e-06   23.2   0.4   0.00091   14.8   0.0   2.3   2   0   0   2   2   2   2 -
cs_ms_21_42             -          VOG0058              -            3.3e-06   22.8   0.1      0.02   10.5   0.0   2.4   2   0   0   2   2   2   2 -
KP06_gp14               -          VOG0058              -            5.6e-06   22.1   0.1    0.0013   14.4   0.0   2.4   2   0   0   2   2   2   2 -
nc_024711_crassphage_14 -          VOG0058              -            5.6e-06   22.1   0.1    0.0013   14.4   0.0   2.4   2   0   0   2   2   2   2 -
inf125_s_2_100          -          VOG0058              -             0.0017   14.0   0.1    0.0044   12.6   0.1   1.7   1   0   0   1   1   1   1 -
srr4295175_ms_5_72      -          VOG0083              -            1.1e-06   24.0   6.6   1.3e-06   23.8   6.6   1.3   1   0   0   1   1   1   1 -
KP06_gp67               -          VOG0083              -            0.00011   17.5   5.7    0.0002   16.5   5.7   1.4   1   0   0   1   1   1   1 -
nc_024711_crassphage_69 -          VOG0083              -            0.00011   17.4   5.7    0.0002   16.5   5.7   1.4   1   0   0   1   1   1   1 -
KP06_gp53               -          VOG0083              -             0.0016   13.6   7.7    0.0016   13.6   7.7   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_55 -          VOG0083              -             0.0016   13.5   7.7    0.0016   13.5   7.7   1.0   1   0   0   1   1   1   1 -
err975045_s_1_21        -          VOG0083              -              0.019   10.0  10.4     0.022    9.8  10.4   1.1   1   0   0   1   1   1   0 -
eld241-t0_s_1_101       -          VOG0085              -            1.6e-35  118.4   0.0     2e-35  118.0   0.0   1.1   1   0   0   1   1   1   1 -
err844030_ms_1_41       -          VOG0085              -            3.9e-32  107.4   0.0   4.7e-32  107.1   0.0   1.1   1   0   0   1   1   1   1 -
srr4295175_ms_5_38      -          VOG0085              -            1.2e-31  105.8   0.0   1.5e-31  105.4   0.0   1.1   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_80         -          VOG0085              -            8.8e-31  103.0   0.1   1.1e-30  102.6   0.1   1.1   1   0   0   1   1   1   1 -
sib1_ms_5_43            -          VOG0085              -            9.1e-29   96.4   0.0   1.6e-28   95.6   0.0   1.4   1   1   0   1   1   1   1 -
fferm_ms_11_87          -          VOG0085              -            1.7e-21   72.9   0.1   5.1e-21   71.3   0.1   1.7   1   1   0   1   1   1   1 -
KP06_gp34               -          VOG0085              -              2e-21   72.6   0.0   2.7e-21   72.2   0.0   1.2   1   0   0   1   1   1   1 -
err975045_s_1_64        -          VOG0085              -            2.2e-17   59.5   0.0   2.8e-17   59.1   0.0   1.1   1   0   0   1   1   1   1 -
nc_024711_crassphage_36 -          VOG0085              -            1.5e-09   34.1   0.0   1.9e-09   33.7   0.0   1.1   1   0   0   1   1   1   1 -
nc_024711_crassphage_34 -          VOG0085              -            1.2e-06   24.6   0.0   1.3e-06   24.5   0.0   1.1   1   0   0   1   1   1   1 -
fferm_ms_11_93          -          VOG0090              -            3.8e-08   29.3   0.0   3.6e-05   19.6   0.0   2.1   2   0   0   2   2   2   2 -
nc_024711_crassphage_26 -          VOG0090              -             0.0032   13.3   0.0    0.0055   12.5   0.0   1.4   1   0   0   1   1   1   1 -
KP06_gp26               -          VOG0090              -             0.0035   13.1   0.0    0.0058   12.4   0.0   1.4   1   0   0   1   1   1   1 -
eld241-t0_s_1_1      -          VOG0154              -            0.00038   16.7   0.3    0.0041   13.3   0.3   1.9   1   1   0   1   1   1   1 -
err844030_ms_1_93    -          VOG0157              -            3.8e-44  146.8   8.4   4.4e-44  146.6   8.4   1.0   1   0   0   1   1   1   1 -
inf125_s_2_105       -          VOG0157              -            4.7e-07   25.9   0.3     0.013   11.5   0.0   3.2   3   1   0   3   3   3   2 -
err844030_ms_1_98    -          VOG0157              -            8.3e-05   18.6   0.1     0.013   11.5   0.0   2.5   2   1   0   2   2   2   2 -
eld241-t0_s_1_152    -          VOG0163              -              1e-47  159.3   3.6   1.2e-47  159.1   3.6   1.0   1   0   0   1   1   1   1 -
inf125_s_2_104       -          VOG0163              -            4.1e-40  134.3   7.0   4.8e-40  134.1   7.0   1.0   1   0   0   1   1   1   1 -
fferm_ms_11_83       -          VOG0186              -            1.7e-10   36.6   0.6     6e-08   28.2   0.3   2.3   1   1   0   2   2   2   2 -
cs_ms_21_17          -          VOG0186              -             0.0012   14.2   0.1    0.0047   12.2   0.1   2.0   1   1   0   1   1   1   1 -
inf125_s_2_100       -          VOG0189              -            4.2e-06   22.8   0.1   1.7e-05   20.8   0.1   2.0   1   1   0   1   1   1   1 -
err975045_s_1_35     -          VOG0189              -            8.4e-06   21.8   0.3   9.7e-05   18.3   0.0   2.6   2   0   0   2   2   2   1 -
inf125_s_2_104       -          VOG0189              -            1.1e-05   21.5   1.4     7e-05   18.8   1.3   2.1   1   1   0   1   1   1   1 -
err844030_ms_1_89    -          VOG0189              -             0.0059   12.5   0.0      0.01   11.7   0.0   1.4   1   0   0   1   1   1   1 -
eld241-t0_s_1_152    -          VOG0189              -              0.011   11.7   0.2     0.011   11.7   0.2   3.0   1   1   1   2   2   2   0 -
inf125_s_2_85        -          VOG0198              -              0.002   14.2   2.9    0.0046   13.0   2.3   1.9   1   1   0   1   1   1   1 -
fferm_ms_11_26       -          VOG0254              -               0.18    6.1  23.6      0.37    5.1  23.6   1.5   1   0   0   1   1   1   0 -
eld241-t0_s_1_36     -          VOG0263              -             0.0048   13.0   5.0    0.0053   12.9   5.0   1.0   1   0   0   1   1   1   1 -
err844030_ms_1_40    -          VOG0281              -             0.0013   15.2   0.4    0.0014   15.1   0.4   1.0   1   0   0   1   1   1   1 -
sib1_ms_5_79         -          VOG0285              -             0.0019   14.4   0.0    0.0023   14.1   0.0   1.1   1   0   0   1   1   1   1 -
err975045_s_1_12     -          VOG0287              -             0.0002   17.0   0.1   0.00022   16.9   0.1   1.0   1   0   0   1   1   1   1 -
err975045_s_1_75     -          VOG0316              -              0.023   11.2   0.2     0.023   11.2   0.2   3.6   3   1   0   3   3   3   0 -
KP06_gp31               -          VOG0321              -            2.9e-15   52.6   5.3   2.6e-11   39.8   3.4   2.2   2   0   0   2   2   2   2 -
nc_024711_crassphage_31 -          VOG0321              -              3e-15   52.6   5.3   2.6e-11   39.8   3.4   2.2   2   0   0   2   2   2   2 -
hvcf_a6_ms_4_77         -          VOG0321              -            7.8e-14   48.0   7.4   7.8e-14   48.0   7.4   1.7   2   0   0   2   2   2   1 -
cs_ms_21_67             -          VOG0321              -            1.9e-13   46.7   8.3   1.1e-12   44.3   8.3   2.0   1   1   0   1   1   1   1 -
sib1_ms_5_47            -          VOG0321              -            6.4e-13   45.0   0.8   6.4e-13   45.0   0.8   2.4   2   1   0   2   2   2   1 -
err975045_s_1_58        -          VOG0321              -            7.4e-13   44.8   7.9   1.3e-12   44.1   4.2   2.4   2   1   0   2   2   2   1 -
srr4295175_ms_5_44      -          VOG0321              -            3.2e-11   39.5   4.1   3.2e-11   39.5   4.1   1.7   2   0   0   2   2   2   1 -
err844030_ms_1_89    -          VOG0322              -            3.9e-24   82.1   0.0   4.6e-24   81.9   0.0   1.0   1   0   0   1   1   1   1 -
eld241-t0_s_1_147    -          VOG0322              -            4.1e-23   78.7   0.0   4.7e-23   78.5   0.0   1.0   1   0   0   1   1   1   1 -
inf125_s_2_98        -          VOG0322              -            6.6e-21   71.5   0.0   7.6e-21   71.3   0.0   1.0   1   0   0   1   1   1   1 -
fferm_ms_11_68       -          VOG0322              -            5.1e-14   49.0   0.7     6e-14   48.7   0.7   1.1   1   0   0   1   1   1   1 -
inf125_s_2_96        -          VOG0322              -            1.6e-05   21.1   0.2   2.8e-05   20.3   0.2   1.4   1   0   0   1   1   1   1 -
err844030_ms_1_87    -          VOG0322              -            8.2e-05   18.8   0.0   0.00012   18.2   0.0   1.4   1   0   0   1   1   1   1 -
sib1_ms_5_18         -          VOG0348              -             0.0021   12.7   0.1    0.0023   12.6   0.1   1.0   1   0   0   1   1   1   1 -
inf125_s_2_9         -          VOG0352              -            1.2e-11   40.8   0.0   1.3e-11   40.6   0.0   1.0   1   0   0   1   1   1   1 -
cs_ms_21_23          -          VOG0371              -               0.33    7.3   7.1      0.37    7.2   7.1   1.0   1   0   0   1   1   1   0 -
inf125_s_2_127       -          VOG0373              -             0.0061   11.2   0.4     0.008   10.8   0.4   1.3   1   1   0   1   1   1   1 -
fferm_ms_11_38       -          VOG0375              -            4.9e-06   23.3   0.1   6.8e-06   22.8   0.1   1.2   1   0   0   1   1   1   1 -
KP06_gp14               -          VOG0377              -            2.2e-76  254.0   5.5   2.7e-76  253.6   5.5   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_14 -          VOG0377              -            2.2e-76  253.9   5.5   2.7e-76  253.6   5.5   1.0   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_57         -          VOG0377              -            1.2e-72  241.6   7.8   1.6e-72  241.2   7.8   1.0   1   0   0   1   1   1   1 -
sib1_ms_5_65            -          VOG0377              -              2e-72  240.9   4.8   2.4e-72  240.6   4.8   1.0   1   0   0   1   1   1   1 -
err844030_ms_1_2        -          VOG0377              -            2.9e-65  217.3   6.7   2.9e-65  217.3   6.7   4.9   4   1   1   5   5   3   1 -
err975045_s_1_35        -          VOG0377              -              7e-64  212.7   7.6   9.4e-64  212.3   7.6   1.0   1   0   0   1   1   1   1 -
cs_ms_21_42             -          VOG0377              -            3.8e-63  210.3   2.3   8.6e-58  192.7   1.2   2.5   2   0   0   2   2   2   2 -
srr4295175_ms_5_63      -          VOG0377              -            4.8e-62  206.7   2.6   6.4e-62  206.3   2.6   1.0   1   0   0   1   1   1   1 -
inf125_s_2_100          -          VOG0377              -            2.3e-05   20.0   3.9   0.00021   16.8   0.2   3.2   2   1   1   3   3   3   1 -
eld241-t0_s_1_5         -          VOG0377              -            0.00062   15.3   0.0   0.00062   15.3   0.0   1.0   1   0   0   1   1   1   1 -
err844030_ms_1_87       -          VOG0377              -             0.0015   14.0   0.4    0.0031   13.0   0.4   1.6   1   1   0   1   1   1   1 -
err975045_s_1_21     -          VOG0384              -               0.23    6.2   8.3      0.26    6.0   8.3   1.1   1   0   0   1   1   1   0 -
err844030_ms_1_59    -          VOG0405              -                1.3    5.1  10.6       1.9    4.6  10.6   1.3   1   1   0   1   1   1   0 -
hvcf_a6_ms_4_23      -          VOG0418              -             0.0045   13.0   2.6    0.0051   12.9   0.3   2.1   2   0   0   2   2   2   1 -
fferm_ms_11_86       -          VOG0419              -            0.00018   17.4   0.1   0.00031   16.6   0.1   1.4   1   0   0   1   1   1   1 -
fferm_ms_11_84       -          VOG0420              -            1.8e-39  131.5  16.2   3.6e-39  130.5  16.2   1.4   1   1   0   1   1   1   1 -
cs_ms_21_1           -          VOG0422              -             0.0014   14.9   3.1      0.16    8.3   0.0   3.6   3   0   0   3   3   3   2 -
srr4295175_ms_5_41   -          VOG0425              -             0.0012   15.5   0.1    0.0016   15.0   0.1   1.2   1   0   0   1   1   1   1 -
eld241-t0_s_1_131    -          VOG0425              -             0.0066   13.0   3.9      0.41    7.3   1.1   2.3   2   0   0   2   2   2   2 -
hvcf_a6_ms_4_10      -          VOG0438              -                1.9    5.3  11.1        33    1.3  11.1   2.3   1   1   0   1   1   1   0 -
srr4295175_ms_5_87   -          VOG0445              -                1.2    5.7   8.1      0.48    6.9   4.1   1.9   1   1   1   2   2   2   0 -
err844030_ms_1_95    -          VOG0451              -            9.5e-09   31.4   2.7   1.2e-08   31.1   2.7   1.2   1   0   0   1   1   1   1 -
eld241-t0_s_1_151    -          VOG0451              -              2e-07   27.1   0.5   2.7e-07   26.7   0.5   1.2   1   0   0   1   1   1   1 -
fferm_ms_11_81       -          VOG0451              -            2.3e-07   26.9   1.2   6.6e-05   18.9   0.2   2.2   2   0   0   2   2   2   2 -
cs_ms_21_62          -          VOG0451              -             0.0027   13.7   0.0    0.0045   13.0   0.0   1.3   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_73      -          VOG0457              -             0.0011   14.7   0.0    0.0023   13.6   0.0   1.5   1   0   0   1   1   1   1 -
sib1_ms_5_18            -          VOG0459              -            0.00061   14.6   0.8   0.00074   14.3   0.8   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_57 -          VOG0459              -              0.072    7.8  12.7      0.13    7.0  12.7   1.5   1   1   0   1   1   1   0 -
KP06_gp55               -          VOG0459              -              0.072    7.8  12.7      0.13    7.0  12.7   1.5   1   1   0   1   1   1   0 -
err975045_s_1_49     -          VOG0469              -             0.0038   13.3   0.0    0.0079   12.3   0.0   1.5   1   0   0   1   1   1   1 -
eld241-t0_s_1_126    -          VOG0476              -              0.051    8.4   2.2     0.058    8.2   2.2   1.1   1   0   0   1   1   1   0 -
err844030_ms_1_90    -          VOG0525              -            0.00094   15.2   0.2     0.022   10.8   0.1   2.5   2   0   0   2   2   2   1 -
fferm_ms_11_37       -          VOG0532              -             0.0025   14.0   0.0    0.0045   13.2   0.0   1.5   1   0   0   1   1   1   1 -
fferm_ms_11_81       -          VOG0536              -            1.5e-15   53.7   2.1     4e-15   52.3   2.1   1.7   1   1   0   1   1   1   1 -
err844030_ms_1_95    -          VOG0536              -            8.6e-14   48.0   4.1   1.1e-13   47.6   4.1   1.3   1   0   0   1   1   1   1 -
eld241-t0_s_1_151    -          VOG0536              -            2.2e-12   43.4   1.8     3e-12   43.0   1.8   1.3   1   0   0   1   1   1   1 -
inf125_s_2_103       -          VOG0536              -             0.0007   16.0   0.1     0.001   15.4   0.1   1.4   1   1   0   1   1   1   1 -
srr4295175_ms_5_42   -          VOG0536              -             0.0022   14.4   0.3    0.0053   13.1   0.3   1.6   1   0   0   1   1   1   1 -
srr4295175_ms_5_72   -          VOG0543              -              0.066    9.5  10.4      0.11    8.8   9.8   1.7   1   1   0   1   1   1   0 -
sib1_ms_5_18         -          VOG0565              -             0.0073   12.4   0.2     0.016   11.3   0.2   1.6   1   1   0   1   1   1   1 -
inf125_s_2_92           -          VOG0566              -              0.001   14.9   0.4    0.0015   14.3   0.4   1.2   1   0   0   1   1   1   1 -
KP06_gp53               -          VOG0566              -             0.0015   14.3   0.6    0.0015   14.3   0.6   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_55 -          VOG0566              -             0.0015   14.3   0.6    0.0015   14.3   0.6   1.0   1   0   0   1   1   1   1 -
KP06_gp55               -          VOG0566              -             0.0085   11.8   5.0     0.064    8.9   1.7   2.0   1   1   1   2   2   2   2 -
nc_024711_crassphage_57 -          VOG0566              -             0.0086   11.8   5.0     0.064    8.9   1.7   2.0   1   1   1   2   2   2   2 -
cs_ms_21_82          -          VOG0567              -             0.0046   12.4   0.0    0.0056   12.2   0.0   1.1   1   0   0   1   1   1   1 -
cs_ms_21_86          -          VOG0602              -             0.0034   13.3   4.9     0.005   12.7   4.9   1.3   1   0   0   1   1   1   1 -
inf125_s_2_19        -          VOG0608              -              0.011   12.4   5.4     0.016   11.9   3.4   2.1   2   0   0   2   2   2   0 -
hvcf_a6_ms_4_83      -          VOG0608              -              0.044   10.5  10.4    0.0076   13.0   5.3   1.9   1   1   1   2   2   2   0 -
err975045_s_1_57        -          VOG0623              -             0.0017   13.7   0.0    0.0017   13.7   0.0   1.0   1   0   0   1   1   1   1 -
KP06_gp55               -          VOG0623              -              0.018   10.3   6.2     0.025    9.8   2.3   2.1   1   1   1   2   2   2   0 -
nc_024711_crassphage_57 -          VOG0623              -              0.018   10.3   6.1     0.026    9.8   2.3   2.1   1   1   1   2   2   2   0 -
err844030_ms_1_92    -          VOG0625              -             0.0041   13.0   0.1    0.0056   12.6   0.1   1.2   1   0   0   1   1   1   1 -
err844030_ms_1_16    -          VOG0641              -            2.6e-08   29.9   1.0   3.5e-08   29.4   1.0   1.2   1   0   0   1   1   1   1 -
cs_ms_21_23          -          VOG0661              -               0.01   11.6   3.2     0.012   11.4   3.2   1.1   1   0   0   1   1   1   0 -
sib1_ms_5_64         -          VOG0668              -            4.7e-05   18.8   0.2   5.8e-05   18.5   0.2   1.2   1   0   0   1   1   1   1 -
fferm_ms_11_56       -          VOG0678              -            0.00052   14.8   0.0   0.00089   14.1   0.0   1.4   2   0   0   2   2   2   1 -
fferm_ms_11_34       -          VOG0682              -             0.0022   14.4   1.6       0.2    8.0   0.1   2.0   1   1   1   2   2   2   2 -
eld241-t0_s_1_36     -          VOG0682              -                1.3    5.3   7.6       1.5    5.1   7.6   1.2   1   0   0   1   1   1   0 -
srr4295175_ms_5_36      -          VOG0686              -            3.1e-21   71.4   0.0   4.9e-21   70.8   0.0   1.3   1   0   0   1   1   1   1 -
fferm_ms_11_85          -          VOG0686              -            1.2e-15   53.5   0.0   1.6e-15   53.1   0.0   1.2   1   0   0   1   1   1   1 -
KP06_gp55               -          VOG0686              -              0.022   11.0   5.6     0.065    9.5   1.8   3.1   2   1   1   3   3   3   0 -
nc_024711_crassphage_57 -          VOG0686              -              0.023   11.0   5.6     0.066    9.5   1.8   3.1   2   1   1   3   3   3   0 -
eld241-t0_s_1_145    -          VOG0705              -            0.00057   14.7   0.0    0.0012   13.7   0.0   1.4   1   0   0   1   1   1   1 -
inf125_s_2_96        -          VOG0705              -            0.00061   14.7   1.2    0.0014   13.5   0.3   1.9   1   1   1   2   2   2   1 -
err975045_s_1_31     -          VOG0709              -            0.00054   16.3   1.9    0.0013   15.1   1.4   1.9   1   1   0   1   1   1   1 -
fferm_ms_11_102      -          VOG0741              -              0.015   11.5   1.3     0.043   10.0   0.3   2.3   2   0   0   2   2   2   0 -
eld241-t0_s_1_61     -          VOG0753              -             0.0027   14.1   0.1    0.0041   13.5   0.1   1.3   1   0   0   1   1   1   1 -
err975045_s_1_78     -          VOG0753              -              0.025   11.0   2.9     0.068    9.6   2.8   1.9   1   1   0   1   1   1   0 -
err844030_ms_1_46    -          VOG0760              -            0.00022   18.0   0.0   0.00051   16.8   0.0   1.6   2   0   0   2   2   2   1 -
inf125_s_2_63        -          VOG0760              -              0.002   14.9   0.0    0.0029   14.4   0.0   1.3   1   0   0   1   1   1   1 -
srr4295175_ms_5_87   -          VOG0765              -               0.14    8.3   4.9     0.048    9.8   2.3   1.6   2   0   0   2   2   2   0 -
fferm_ms_11_101      -          VOG0794              -                3.1    4.3  12.1      0.12    8.9   4.0   3.0   2   0   0   2   2   2   0 -
err844030_ms_1_90    -          VOG0797              -             0.0064   13.0   0.1     0.018   11.6   0.1   1.7   1   0   0   1   1   1   1 -
inf125_s_2_154       -          VOG0811              -             0.0015   15.1   0.2    0.0018   14.8   0.2   1.2   1   0   0   1   1   1   1 -
fferm_ms_11_25       -          VOG0880              -            2.5e-11   39.3   2.7   3.5e-11   38.9   2.7   1.2   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_15      -          VOG0880              -            0.00062   15.1   0.1   0.00062   15.1   0.1   1.1   1   0   0   1   1   1   1 -
srr4295175_ms_5_85   -          VOG0910              -              0.014   11.7   3.6      0.21    7.9   1.1   2.2   1   1   1   2   2   2   0 -
err844030_ms_1_20    -          VOG0979              -            4.5e-88  291.8  12.6   5.4e-88  291.5  12.6   1.0   1   0   0   1   1   1   1 -
inf125_s_2_175       -          VOG0979              -            2.8e-23   78.7   0.3   3.1e-23   78.6   0.3   1.0   1   0   0   1   1   1   1 -
inf125_s_2_174       -          VOG0979              -            3.6e-08   29.0   0.8     4e-08   28.9   0.8   1.0   1   0   0   1   1   1   1 -
err844030_ms_1_22    -          VOG0980              -            3.6e-06   23.7   3.5   4.1e-06   23.6   2.8   1.5   1   1   0   1   1   1   1 -
err844030_ms_1_85    -          VOG0982              -               0.12    8.5   7.0     0.019   11.1   1.3   2.6   2   2   1   3   3   3   0 -
KP06_gp80               -          VOG0992              -            9.4e-30   99.7   0.9     1e-29   99.6   0.9   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_82 -          VOG0992              -            9.7e-30   99.7   0.9   1.1e-29   99.6   0.9   1.0   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_33         -          VOG0992              -            3.7e-29   97.8   0.2   4.9e-29   97.4   0.2   1.2   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_34         -          VOG0992              -            5.3e-08   28.9   0.0   5.5e-08   28.8   0.0   1.1   1   0   0   1   1   1   1 -
KP06_gp82               -          VOG0992              -            0.00075   15.4   0.1   0.00093   15.1   0.1   1.1   1   0   0   1   1   1   1 -
nc_024711_crassphage_84 -          VOG0992              -            0.00077   15.3   0.1   0.00095   15.0   0.1   1.1   1   0   0   1   1   1   1 -
inf125_s_2_104          -          VOG0996              -            1.5e-16   56.9   0.5     2e-16   56.5   0.5   1.2   1   0   0   1   1   1   1 -
eld241-t0_s_1_152       -          VOG0996              -            1.3e-12   44.0   0.7   1.8e-12   43.5   0.7   1.2   1   0   0   1   1   1   1 -
inf125_s_2_100          -          VOG0996              -            5.9e-11   38.6   1.6   7.6e-11   38.2   0.0   1.9   3   0   0   3   3   3   1 -
err844030_ms_1_89       -          VOG0996              -            3.3e-06   22.9   0.1   5.3e-06   22.3   0.1   1.3   1   0   0   1   1   1   1 -
inf125_s_2_98           -          VOG0996              -            0.00073   15.2   0.0    0.0011   14.6   0.0   1.2   1   0   0   1   1   1   1 -
srr4295175_ms_5_63      -          VOG0996              -             0.0067   12.1   3.8    0.0047   12.6   0.4   2.4   2   1   0   2   2   2   1 -
nc_024711_crassphage_14 -          VOG0996              -              0.028   10.1   5.9    0.0093   11.6   0.5   2.7   2   2   0   2   2   2   0 -
KP06_gp14               -          VOG0996              -              0.028   10.1   5.9    0.0093   11.6   0.5   2.7   2   2   0   2   2   2   0 -
hvcf_a6_ms_4_54      -          VOG10018             -            4.7e-05   19.4   0.1   5.8e-05   19.1   0.1   1.1   1   0   0   1   1   1   1 -
inf125_s_2_15        -          VOG10022             -            0.00051   16.3   0.1   0.00053   16.3   0.1   1.1   1   0   0   1   1   1   1 -
KP06_gp63               -          VOG10035             -             0.0052   12.4   3.0     0.022   10.4   3.0   2.1   1   0   0   1   1   1   1 -
nc_024711_crassphage_65 -          VOG10035             -             0.0052   12.4   3.0     0.022   10.4   3.0   2.1   1   0   0   1   1   1   1 -
eld241-t0_s_1_126    -          VOG10039             -              0.034   10.3   9.4     0.016   11.3   5.3   2.1   2   0   0   2   2   2   0 -
sib1_ms_5_48         -          VOG10041             -             0.0035   13.6   0.1     0.067    9.4   0.0   2.4   2   0   0   2   2   2   1 -
fferm_ms_11_66       -          VOG10057             -             0.0058   12.9   0.1      0.88    5.9   0.0   2.2   2   0   0   2   2   2   2 -
fferm_ms_11_24       -          VOG10065             -            1.3e-08   31.0   1.2   6.7e-08   28.8   1.2   2.2   1   0   0   1   1   1   1 -
eld241-t0_s_1_49     -          VOG1006              -             0.0018   14.4   0.1    0.0019   14.3   0.1   1.0   1   0   0   1   1   1   1 -
err844030_ms_1_14    -          VOG10070             -              0.019   11.1   1.2     0.023   10.8   0.1   1.7   2   0   0   2   2   2   0 -
sib1_ms_5_17         -          VOG10080             -            3.5e-11   38.6   0.6   6.3e-06   21.3   0.0   2.5   2   0   0   2   2   2   2 -
err975045_s_1_63     -          VOG10088             -             0.0036   13.8   0.1     0.014   11.9   0.1   2.0   1   1   1   2   2   2   1 -
err975045_s_1_65     -          VOG10089             -             0.0018   14.8   0.8    0.0051   13.3   0.4   1.7   1   1   1   2   2   2   1 -
